system:index,Aspect_deg,Elevation_m,MTBS_Severity,Month6_NBR,Month6_NDVI,NLCD2016,Postfire_NBR,Postfire_NDVI,Prefire_NBR,Prefire_NDVI,Slope_deg,Year10_NBR,Year10_NDVI,Year1_NBR,Year1_NDVI,Year5_NBR,Year5_NDVI,Year9_NBR,Year9_NDVI,dNBR,lat,lon,.geo
7673_0,70.78601,1087.3652,3,-0.2939684,0.13491687,71,-0.34133318,0.123154126,0.039091527,0.31128225,6.2568145,0.15506022,0.39033386,-0.18941018,0.13379994,0.0028417693,0.2590722,0.01518503,0.30197373,0.3804247,34.3128722038887,-117.51088363294349,"{""type"":""MultiPoint"",""coordinates"":[]}"
7674_0,175.07367,1054.9653,3,-0.120217465,0.1605362,71,-0.25883067,0.14874455,0.1505687,0.3306858,16.930672,0.12563498,0.29576334,-0.003983954,0.18181497,0.10038025,0.26488367,0.09753156,0.30571452,0.40939936,34.29510438388751,-117.4917720403217,"{""type"":""MultiPoint"",""coordinates"":[]}"
7675_0,224.92574,1149.9528,3,-0.2448317,0.14888796,71,-0.3780251,0.16514328,0.040526535,0.35541353,11.143155,0.23107463,0.3940867,-0.0910853,0.13931309,0.071813844,0.27160653,0.08252509,0.3032361,0.41855165,34.33485614359594,-117.53034373285796,"{""type"":""MultiPoint"",""coordinates"":[]}"
7676_0,351.33502,1265.6742,2,-0.17511453,0.18012433,71,-0.29254895,0.13337533,-0.077527724,0.21348374,4.694607,0.035211384,0.27951226,-0.0809856,0.221946,-0.028125294,0.21127674,-0.121488295,0.21692656,0.21502122,34.40011656309243,-117.50576580459689,"{""type"":""MultiPoint"",""coordinates"":[]}"
7677_0,4.3796964,1335.3901,2,-0.04059337,0.19648227,71,-0.025889454,0.2040598,0.09110394,0.21793556,36.14779,0.1158913,0.26288778,0.065641284,0.22533591,0.08481355,0.23187461,0.08519278,0.23791276,0.1169934,34.33956527539403,-117.54542621757513,"{""type"":""MultiPoint"",""coordinates"":[]}"
7678_0,30.498148,1679.0942,3,-0.30168894,0.1545048,71,-0.340186,0.10980455,0.24206215,0.44657794,25.2612,0.42818156,0.55812967,0.034575384,0.37066704,0.18841909,0.39062017,0.23729216,0.42469552,0.58224815,34.29700480685488,-117.54408584276523,"{""type"":""MultiPoint"",""coordinates"":[]}"
7679_0,13.477942,1309.1437,2,-0.20376898,0.083991446,71,-0.19231679,0.13989094,0.13074453,0.31289425,33.341457,0.29680753,0.41298765,0.008580409,0.18692213,0.16454655,0.27716276,0.1768498,0.3371011,0.32306132,34.31298408272691,-117.52223131872691,"{""type"":""MultiPoint"",""coordinates"":[]}"
7680_0,63.554504,1293.1635,2,-0.2776185,0.17038174,71,-0.29157358,0.12895353,-0.08311736,0.23788726,3.315484,0.029003015,0.28174496,-0.18196869,0.19477831,-0.084651075,0.22926323,-0.066043295,0.2365145,0.20845623,34.36432213709573,-117.55124437446179,"{""type"":""MultiPoint"",""coordinates"":[]}"
7681_0,98.07233,1183.1317,2,-0.2596509,0.1419369,71,-0.43867812,0.15596537,-0.0055012545,0.33087754,3.2196763,0.11372481,0.3383803,-0.10845632,0.17215997,0.006939435,0.27203742,-0.0014640802,0.27168456,0.43317688,34.346759300331236,-117.53375607914195,"{""type"":""MultiPoint"",""coordinates"":[]}"
7682_0,8.505219,1240.28,3,-0.23565206,0.12926036,71,-0.33503586,0.13006999,0.3479575,0.5655114,15.851925,0.57442987,0.7061769,0.045896456,0.37076998,0.18896522,0.43176556,0.45445588,0.6216481,0.68299335,34.26770806575292,-117.4879209346698,"{""type"":""MultiPoint"",""coordinates"":[]}"
