system:index,Aspect_deg,Burned_Since_1996,Elevation_m,MTBS_Severity,Month6_NBR,Month6_NDVI,NLCD2016,Postfire_NBR,Postfire_NDVI,Prefire_NBR,Prefire_NDVI,Slope_deg,Year10_NBR,Year10_NDVI,Year1_NBR,Year1_NDVI,Year5_NBR,Year5_NDVI,Year9_NBR,Year9_NDVI,dNBR,group,lat,lon,.geo
1_8831_0,212.58061,1,1364.9065,1,-0.07425898,0.1252408,71,-0.08717218,0.12633085,-0.06621654,0.13204928,29.690695,0.023025123,0.20221783,-0.017324576,0.16194879,-0.0019095251,0.18465492,-0.06478133,0.16653676,0.020955643,burned,34.36855547790621,-117.5274944443356,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8832_0,265.90372,1,1083.2407,2,-0.17100167,0.15416875,71,-0.27305433,0.14690612,0.017097719,0.27867982,24.097563,0.15394829,0.39753842,-0.03493403,0.20283003,0.112082675,0.30516306,0.0070466576,0.27754882,0.29015207,burned,34.334833365969125,-117.47672131608266,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8833_0,69.90688,1,1379.661,2,-0.2513421,0.13873836,71,-0.24731547,0.11880225,-0.058174353,0.22019534,5.5757785,0.065650806,0.29471487,-0.13624004,0.20722713,-0.14326787,0.18805766,-0.044853445,0.22678588,0.18914111,burned,34.36642240078021,-117.56694940841817,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8834_0,84.57793,1,1421.5172,2,-0.121995844,0.23812433,71,-0.29490742,0.14760669,0.17262128,0.3416406,26.226814,0.3694933,0.493202,0.10464023,0.3093615,0.09848775,0.31177157,0.17217888,0.3812052,0.4675287,burned,34.29820248418447,-117.52836432630512,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8835_0,313.1051,1,920.78033,2,-0.06793474,0.21827953,71,-0.15130043,0.14164501,0.15885225,0.3368702,21.296534,0.14516434,0.29361013,0.026745498,0.16645744,0.09803305,0.23700012,0.08984152,0.28053644,0.31015268,burned,34.2811608690623,-117.46207073883183,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8836_0,201.3202,1,1260.2932,1,-0.04729772,0.19551808,71,-0.075429834,0.182092,-0.052333347,0.18813348,23.265762,0.11824704,0.3054289,0.035832316,0.2477486,0.0030653137,0.23055606,-0.022172112,0.21800353,0.023096485,burned,34.367939291525936,-117.53250146538585,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8837_0,120.29302,1,1525.5564,1,0.10757106,0.3163621,90,0.085819684,0.21682698,0.15067056,0.2734431,5.2081785,0.2653473,0.37646556,0.22024962,0.30223688,0.13072449,0.2558048,0.16570969,0.31101975,0.06485087,burned,34.32453657773116,-117.57075412309678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8838_0,186.89023,1,1166.4342,3,-0.22641672,0.15791039,71,-0.31335104,0.13309829,-0.0075002187,0.24053437,3.8605385,0.04924756,0.23413293,-0.13385175,0.1454749,-0.0817831,0.20698407,-0.10332108,0.21110862,0.3058508,burned,34.34731103819165,-117.5089346674234,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8839_0,144.55063,1,1893.211,2,-0.19695587,0.20295547,71,-0.3259213,0.1796444,0.048378598,0.3043748,14.497456,0.25667,0.46261945,-0.043552168,0.2830133,0.049589846,0.3215927,0.12928961,0.35355416,0.3742999,burned,34.34273719849612,-117.59691313631755,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8840_0,166.19983,1,1161.239,2,-0.05522852,0.20753057,71,-0.23382877,0.15469423,0.02322743,0.27249464,17.815033,0.13381551,0.39475918,-0.0111294715,0.19306795,0.14569238,0.34387523,-0.061440863,0.2762659,0.2570562,burned,34.33901900288396,-117.49458176490192,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8841_0,339.3226,1,1555.576,4,-0.57364494,-9999.0,71,-0.30373406,0.115612686,0.26845616,0.48269913,29.176743,0.3377341,0.51409626,-0.14482036,0.22543271,0.108554915,0.34003207,0.21863669,0.40741104,0.5721902,burned,34.35529574014299,-117.57651583870191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8842_0,59.675323,1,1080.6423,2,-0.13764088,0.16212021,71,-0.24987271,0.14422624,0.07414987,0.2969075,19.29874,0.11357268,0.3093944,-0.045428537,0.18615346,0.049056187,0.26239416,-0.0023085256,0.27226698,0.3240226,burned,34.33084341662454,-117.50778480292844,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8843_0,106.91521,1,1170.3887,2,0.008523412,0.24766193,71,-0.16676395,0.102792114,0.08837,0.23061793,4.1689405,0.14970972,0.2686791,-0.005923178,0.1651105,0.09538702,0.24351352,0.039786715,0.2320166,0.25513396,burned,34.30403759837104,-117.51957748371494,"{""type"":""MultiPoint"",""coordinates"":[]}"
